"Intput.file1","Input.word11","Input.word12","Input.word13","Input.word14","Input.word15","Timestamp","Input.rightAnswer1","Answer.wordchoice1","RejectionTime","WorkerId"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_092.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170352","ma2","ma3","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_093.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170355","ma3","ma3","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_093.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170358","ma4","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_094.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170400","ma3","ma3","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma1_bpsqxu_snr-25_093.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170402","ma1","ma1","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_094.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170405","ma4","ma3","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_095.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170409","ma4","ma1","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_095.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170411","ma3","ma3","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_093.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170413","ma2","ma2","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma1_bpsqxu_snr-25_094.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170416","ma1","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_096.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170419","ma4","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_094.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170421","ma2","ma2","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_096.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170424","ma3","ma3","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma1_bpsqxu_snr-25_095.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170426","ma1","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma1_bpsqxu_snr-25_096.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170429","ma1","ma1","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_095.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170432","ma2","ma3","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_096.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170439","ma2","[don't know]","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma1_bpsqxu_snr-25_097.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170442","ma1","ma1","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_097.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170445","ma3","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_098.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170448","ma3","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_099.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170451","ma3","ma3","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma1_bpsqxu_snr-25_098.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170454","ma1","ma1","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma1_bpsqxu_snr-25_099.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170457","ma1","ma1","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_100.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170500","ma3","ma3","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_097.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170503","ma4","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_097.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170505","ma2","ma2","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_098.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170513","ma4","[don't know]","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_098.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170516","ma2","ma2","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_099.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170518","ma2","ma2","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_100.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170521","ma2","ma2","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_099.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170523","ma4","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_100.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170526","ma4","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma1_bpsqxu_snr-25_100.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T170528","ma1","ma1","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_101.wav","ma1","ma2","ma3","ma4","[don't know]","20181108T162535","ma2","ma2","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_101.wav","ma1","ma2","ma3","ma4","[don't know]","20181108T162538","ma3","ma3","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_101.wav","ma1","ma2","ma3","ma4","[don't know]","20181108T162541","ma4","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_102.wav","ma1","ma2","ma3","ma4","[don't know]","20181108T162544","ma3","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_103.wav","ma1","ma2","ma3","ma4","[don't know]","20181108T162547","ma3","ma3","","qxu"
