"Intput.file1","Input.word11","Input.word12","Input.word13","Input.word14","Input.word15","Timestamp","Input.rightAnswer1","Answer.wordchoice1","RejectionTime","WorkerId"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_182.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190539","ma2","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_183.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190542","ma2","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_183.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190546","ma3","ma3","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_183.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190555","ma4","ma3","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_182.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190558","ma1","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_184.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190601","ma2","ma3","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_184.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190604","ma4","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_183.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190607","ma1","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_184.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190610","ma1","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_184.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190614","ma3","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_185.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190617","ma4","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_185.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190620","ma2","ma3","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_186.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190625","ma2","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_185.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190628","ma3","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_186.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190631","ma4","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_187.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190637","ma2","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_185.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190640","ma1","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_187.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190644","ma4","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_186.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190649","ma1","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_187.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190652","ma1","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_188.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190655","ma2","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_186.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190659","ma3","ma3","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_187.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190702","ma3","ma3","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_188.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190706","ma4","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_188.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190714","ma1","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_188.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190717","ma3","ma3","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_189.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190721","ma2","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_190.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190724","ma2","ma3","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_191.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190727","ma2","ma3","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_189.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190730","ma1","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_190.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190734","ma1","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_189.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190737","ma4","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_190.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190740","ma4","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_191.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190743","ma4","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_189.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190747","ma3","ma3","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_190.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190750","ma3","ma3","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_191.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190753","ma1","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_192.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190756","ma1","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_192.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190759","ma2","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_191.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190805","ma3","ma3","","czhou"
